Station Code,Name Of Monitoring Location,State Name,Temperature (oC) Unnamed: 3_level_1,Temperature (oC) Unnamed: 4_level_1,Dissolved Oxygen (mg/L) > 5.0 mg/ L,Dissolved Oxygen (mg/L) > 5.0 mg/ L.1,pH 6.5 - 8.5,pH 6.5 - 8.5.1,Conductivity (µmhos/cm) Unnamed: 9_level_1,Conductivity (µmhos/cm) Unnamed: 10_level_1,Bio-Chemical Oxygen Demand (mg/L) < 3.0 mg/ L,Bio-Chemical Oxygen Demand (mg/L) < 3.0 mg/ L.1,Nitrate (mg/L) Unnamed: 13_level_1,Nitrate (mg/L) Unnamed: 14_level_1,"Fecal Coliform (MPN/100mL) < 2500 MPN
/ 100 mL","Fecal Coliform (MPN/100mL) < 2500 MPN
/ 100 mL.1",Total Coliform (MPN/100mL) Unnamed: 17_level_1,Total Coliform (MPN/100mL) Unnamed: 18_level_1,"Fecal Streptococci (MPN/100mL) < 500 MPN
/ 100 mL","Fecal Streptococci (MPN/100mL) < 500 MPN
/ 100 mL.1",Temperature AVG,Dissolved Oxygen AVG,pH 6.5 - 8.5 AVG,Conductivity AVG,Bio-Chemical Oxygen Demand AVG,Nitrate AVG,Fecal Coliform AVG,Total Coliform AVG,Fecal Streptococci AVG
4446.0,RIVER          SUTLEJ          U/S IANDFILL SITE RAMPUR,HIMACHAL PRADESH,7.5,14.0,8.6,9.1,6.85,8.34,86.0,1152.0,2.6562455892731127,6.435890218156228,0.32,4.34,6.0,27.0,14.0,1600.0,217.50874751491057,914.7807157057653,10.75,8.85,7.595,619.0,,2.33,16.5,807.0,
4447.0,RIVER          SUTLEJ          D/S LANDFILL SITE RAMPUR,HIMACHAL PRADESH,7.5,14.0,8.6,9.1,6.94,8.23,87.0,2489.0,2.6562455892731127,6.435890218156228,0.32,0.82,2.0,350.0,9.0,1600.0,217.50874751491057,914.7807157057653,10.75,8.85,7.585000000000001,1288.0,,0.57,176.0,804.5,
4032.0,RIVER    SUTLEJ    D/S    ACC BARMANA,HIMACHAL PRADESH,10.0,28.0,8.9,9.6,7.54,8.4,172.0,430.0,2.6562455892731127,6.435890218156228,0.32,3.99,49.0,220.0,210.0,920.0,217.50874751491057,914.7807157057653,19.0,9.25,7.970000000000001,301.0,,2.1550000000000002,134.5,565.0,
4033.0,RIVER        SUTLEJ        NEAR LUHNOO GROUND,HIMACHAL PRADESH,10.0,28.0,8.6,9.5,7.44,8.46,162.0,466.0,1.4,1.4,0.32,2.39,94.0,280.0,430.0,920.0,217.50874751491057,914.7807157057653,19.0,9.05,7.950000000000001,314.0,1.4,1.355,187.0,675.0,
4450.0,RIVER     SUTLEJ     BEFORE CONFLUENCE WITH GANVI KHAND,HIMACHAL PRADESH,7.5,14.0,8.7,9.4,6.82,8.57,83.0,1176.0,2.6562455892731127,6.435890218156228,0.32,2.81,4.0,94.0,17.0,1600.0,217.50874751491057,914.7807157057653,10.75,9.05,7.695,629.5,,1.565,49.0,808.5,
4451.0,RIVER       SUTLEJ       AFTER CONFLUENCE WITH GANVI KHAD,HIMACHAL PRADESH,7.5,14.0,8.7,9.4,6.83,8.39,86.0,1258.0,2.6562455892731127,6.435890218156228,0.32,3.14,4.0,70.0,6.8,1600.0,217.50874751491057,914.7807157057653,10.75,9.05,7.61,672.0,,1.73,37.0,803.4,
30009.0,RIVER SUTLEJ AT NANGAL (H.P.),HIMACHAL PRADESH,19.5,20.0,7.9,9.6,7.7,8.5,218.0,271.0,1.4,4.0,0.42,1.42,40.0,54000.0,110.0,126361.17211328977,17.0,17.0,19.75,8.75,8.1,244.5,2.7,0.9199999999999999,27020.0,,17.0
1014.0,RIVER SUTLEJ U/S OF EXIT POINT  OF  DEHAR  POWER HOUSE,HIMACHAL PRADESH,10.0,28.0,9.0,9.7,7.76,8.47,126.0,285.0,1.2,1.2,0.32,1.4,31.0,84.0,210.0,350.0,217.50874751491057,914.7807157057653,19.0,9.35,8.115,205.5,1.2,0.86,57.5,280.0,
1015.0,"RIVER SUTLEJ D/S OF EXIT
POINT  OF  DEHAR  POWER HOUSE",HIMACHAL PRADESH,10.0,28.0,8.8,9.7,7.86,8.34,137.0,300.0,2.6562455892731127,6.435890218156228,0.32,2.09,58.0,140.0,280.0,540.0,217.50874751491057,914.7807157057653,19.0,9.25,8.1,218.5,,1.2049999999999998,99.0,410.0,
1016.0,RIVER          SUTLEJ          D/S BHAKHRA,HIMACHAL PRADESH,16.0,28.0,8.4,9.4,6.88,7.84,181.0,316.0,2.6562455892731127,6.435890218156228,0.8467035175879397,5.77,2.0,43.0,21.0,220.0,217.50874751491057,914.7807157057653,22.0,8.9,7.359999999999999,248.5,,,22.5,120.5,
